,,GAMES,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,DEEP BALL PASSING,PRESSURE,PRESSURE,PRESSURE,PRESSURE,PRESSURE,MISC,MISC,MISC,MISC
RANK,PLAYER,G,COMP,ATT,PCT,YDS,Y/A,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
1,Josh Allen,1,32,43,74%,358,8.3,241,5.6,16,4,1,1,0,2.3,0,6,8,8,5,3,10,130
2,Justin Herbert,1,26,38,68%,281,7.4,140,3.7,11,4,1,1,0,2.4,1,5,5,10,3,3,6,125
3,Matthew Stafford,1,27,38,71%,343,9.0,184,4.8,12,6,2,2,1,2.4,1,2,3,11,7,1,6,134
4,Tom Brady,1,41,55,75%,432,7.9,229,4.2,18,6,2,0,0,2.4,3,1,7,13,9,2,7,103
5,Sam Darnold,1,23,34,68%,304,8.9,200,5.9,14,6,1,0,0,2.5,3,3,2,7,3,3,5,96
6,Kirk Cousins,1,30,38,79%,323,8.5,175,4.6,14,5,0,0,0,2.2,1,4,4,11,5,1,10,128
7,Patrick Mahomes II,1,27,44,61%,260,5.9,143,3.3,11,2,0,0,0,2.4,2,4,10,9,7,3,5,82
8,Ryan Tannehill,1,18,27,67%,197,7.3,99,3.7,10,2,0,0,0,2.4,1,1,0,7,5,2,8,94
9,Jalen Hurts,1,25,39,64%,326,8.4,142,3.6,12,5,2,1,0,2.1,2,2,9,9,3,1,3,86
10,Taylor Heinicke,1,14,24,60%,212,8.5,72,2.9,9,2,2,1,1,2.5,1,2,6,5,3,3,4,81
11,Derek Carr,1,26,43,60%,386,9.0,220,5.1,17,9,2,0,0,2.6,3,6,1,17,9,1,4,96
12,Jacoby Brissett,1,32,49,65%,215,4.4,166,3.4,5,1,0,0,0,2.4,2,4,6,8,9,1,0,75
13,Lamar Jackson,1,16,31,52%,287,9.3,226,7.3,10,6,3,1,0,2.8,4,2,5,6,2,3,5,81
14,Dak Prescott,1,21,26,81%,238,9.2,149,5.7,8,2,1,1,0,2.2,4,2,4,5,1,1,5,143
15,Kyler Murray,1,28,34,82%,316,9.3,198,5.8,10,4,3,0,0,2.2,0,1,0,4,4,0,3,93
