,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,David Montgomery,1,17,72.0,4.2,36.0,2.1,36,2.1,2,3,-5.0,13,2,0,0,0,0,13,4,4,0,11
2,Aaron Jones,1,15,130.0,8.7,20.0,1.3,110,7.3,2,0,0.0,77,1,1,1,1,1,77,3,3,1,7
3,Jonathan Taylor,1,13,91.0,7.0,52.0,4.0,39,3.0,3,2,-5.0,0,4,1,0,0,0,24,3,3,0,1
4,Dalvin Cook,1,32,120.0,3.8,58.0,1.8,62,1.9,1,2,-4.0,0,4,0,0,0,0,12,6,9,0,18
5,Adrian Peterson,1,16,57.0,3.6,27.0,1.7,30,1.9,2,0,0.0,5,1,0,0,0,0,15,0,1,0,0
6,Ty Johnson,1,22,104.0,4.7,77.0,3.5,27,1.2,1,0,0.0,1,3,0,0,0,0,16,2,2,0,5
7,Chris Carson,1,13,65.0,5.0,42.0,3.2,23,1.8,1,0,0.0,0,3,0,0,0,0,11,3,6,0,8
8,James Robinson,1,18,78.0,4.3,45.0,2.5,33,1.8,0,1,-1.0,1,1,0,0,0,0,15,6,6,1,15
9,Nick Chubb,1,18,80.0,4.4,54.0,3.0,26,1.4,3,2,-2.0,1,2,1,0,0,0,29,1,1,0,3
10,Alfred Morris,1,8,39.0,4.9,22.0,2.8,17,2.1,1,0,0.0,4,1,0,0,0,0,13,1,1,1,0
11,Alvin Kamara,1,15,88.0,5.9,37.0,2.5,51,3.4,3,1,-1.0,11,3,1,1,0,0,37,2,3,0,0
12,Cam Akers,1,21,72.0,3.4,36.0,1.7,36,1.7,0,3,-6.0,9,1,0,0,0,0,12,1,1,0,0
13,Melvin Gordon III,1,15,131.0,8.7,95.0,6.3,36,2.4,1,0,0.0,0,2,1,1,1,1,65,1,2,0,2
14,Wayne Gallman Jr.,1,16,135.0,8.4,90.0,5.6,45,2.8,2,2,-2.0,0,3,2,1,1,1,60,0,0,0,0
15,Darrell Henderson Jr.,1,3,49.0,16.3,41.0,13.7,8,2.7,1,0,0.0,38,1,1,1,0,0,38,2,3,0,17
16,J.K. Dobbins,1,11,71.0,6.5,34.0,3.1,37,3.4,2,2,-3.0,5,2,1,1,0,0,30,0,0,0,0
17,Myles Gaskin,1,21,90.0,4.3,51.0,2.4,39,1.9,0,0,0.0,0,2,1,0,0,0,26,2,2,0,22
18,Kenyan Drake,1,10,49.0,4.9,18.0,1.8,31,3.1,0,0,0.0,4,2,1,0,0,0,27,2,3,0,3
19,David Johnson,1,10,44.0,4.4,25.0,2.5,19,1.9,1,0,0.0,6,1,0,0,0,0,19,0,2,1,0
20,Gus Edwards,1,7,101.0,14.4,55.0,7.9,46,6.6,1,0,0.0,0,3,3,1,0,0,36,0,0,0,0
21,Damien Harris,1,16,80.0,5.0,42.0,2.6,38,2.4,2,0,0.0,0,2,0,0,0,0,12,1,1,0,3
22,Ezekiel Elliott,1,18,77.0,4.3,31.0,1.7,46,2.6,0,1,-1.0,0,3,0,0,0,0,14,4,6,1,13
23,Nyheim Hines,1,6,10.0,1.7,4.0,0.7,6,1.0,0,1,-1.0,5,0,0,0,0,0,5,3,3,0,3
24,Peyton Barber,1,14,23.0,1.6,13.0,0.9,10,0.7,0,1,-2.0,1,0,0,0,0,0,5,0,0,0,0
25,Devin Singletary,1,18,61.0,3.4,20.0,1.1,41,2.3,0,2,-4.0,0,1,0,0,0,0,15,3,4,0,14
26,J.D. McKissic,1,5,8.0,1.6,5.0,1.0,3,0.6,0,1,-3.0,0,0,0,0,0,0,8,10,10,1,3
27,Jeremy McNichols,1,2,2.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1,0,0,0,0,0,1,3,4,1,3
28,Josh Adams,1,8,74.0,9.3,16.0,2.0,58,7.3,4,0,0.0,0,3,1,0,0,0,25,0,0,0,0
29,C.J. Ham,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1
30,Kyle Juszczyk,1,2,5.0,2.5,2.0,1.0,3,1.5,0,0,0.0,0,0,0,0,0,0,5,1,1,1,2
31,Austin Ekeler,1,8,36.0,4.5,23.0,2.9,13,1.6,0,0,0.0,0,0,0,0,0,0,9,4,9,0,3
32,Jeff Wilson Jr.,1,7,47.0,6.7,4.0,0.6,43,6.1,2,0,0.0,0,2,0,0,0,0,18,2,5,1,4
33,Sony Michel,1,10,35.0,3.5,17.0,1.7,18,1.8,0,0,0.0,0,1,0,0,0,0,10,1,1,0,13
34,Kareem Hunt,1,14,33.0,2.4,12.0,0.9,21,1.5,2,1,-1.0,0,0,0,0,0,0,8,3,3,0,7
35,Le'Veon Bell,1,11,40.0,3.6,22.0,2.0,18,1.6,0,1,-3.0,0,1,0,0,0,0,16,2,3,2,5
36,Devontae Booker,1,16,50.0,3.1,31.0,1.9,19,1.2,0,1,-3.0,0,1,0,0,0,0,14,1,2,0,0
37,Derrick Henry,1,15,60.0,4.0,44.0,2.9,16,1.1,0,2,-3.0,0,1,0,0,0,0,10,1,1,0,2
38,Raheem Mostert,1,9,42.0,4.7,24.0,2.7,18,2.0,1,1,-2.0,0,2,0,0,0,0,16,1,1,0,0
39,Darrel Williams,1,6,38.0,6.3,28.0,4.7,10,1.7,0,0,0.0,0,2,0,0,0,0,12,1,2,0,0
40,Chase Edmonds,1,6,28.0,4.7,17.0,2.8,11,1.8,0,1,-2.0,0,1,0,0,0,0,13,2,5,0,2
41,Kalen Ballage,1,7,34.0,4.9,22.0,3.1,12,1.7,1,1,-1.0,0,0,0,0,0,0,8,3,4,0,0
42,Jamaal Williams,1,5,26.0,5.2,11.0,2.2,15,3.0,0,0,0.0,0,1,0,0,0,0,18,2,2,0,1
43,Ito Smith,1,8,36.0,4.5,28.0,3.5,8,1.0,1,0,0.0,0,1,0,0,0,0,15,1,2,0,0
44,Duke Johnson Jr.,1,2,8.0,4.0,4.0,2.0,4,2.0,0,0,0.0,0,0,0,0,0,0,4,6,6,1,6
45,Miles Sanders,1,10,31.0,3.1,4.0,0.4,27,2.7,0,2,-6.0,0,0,0,0,0,0,8,0,1,0,0
46,Mark Ingram II,1,6,28.0,4.7,9.0,1.5,19,3.2,1,0,0.0,0,0,0,0,0,0,7,1,1,0,1
47,Ameer Abdullah,1,2,11.0,5.5,8.0,4.0,3,1.5,0,0,0.0,0,0,0,0,0,0,7,1,1,0,1
48,Giovani Bernard,1,12,30.0,2.5,7.0,0.6,23,1.9,0,3,-3.0,0,1,0,0,0,0,10,2,2,0,2
49,Tony Pollard,1,8,22.0,2.8,12.0,1.5,10,1.3,2,1,-1.0,0,1,0,0,0,0,12,1,1,0,3
50,Malcolm Brown,1,3,-3.0,-1.0,-4.0,-1.3,1,0.3,0,2,-4.0,0,0,0,0,0,0,1,1,1,0,3
51,Phillip Lindsay,1,14,26.0,1.9,14.0,1.0,12,0.9,0,1,-1.0,0,0,0,0,0,0,4,0,1,0,0
52,Patrick Laird,1,3,6.0,2.0,2.0,0.7,4,1.3,0,0,0.0,0,0,0,0,0,0,4,2,3,0,7
53,Todd Gurley II,1,8,16.0,2.0,11.0,1.4,5,0.6,2,2,-8.0,0,1,0,0,0,0,13,1,1,0,0
54,Jordan Howard,1,4,19.0,4.8,5.0,1.3,14,3.5,0,0,0.0,0,1,0,0,0,0,11,0,0,0,0
55,Jordan Wilkins,1,5,12.0,2.4,6.0,1.2,6,1.2,1,0,0.0,0,0,0,0,0,0,5,2,2,0,2
56,Brian Hill,1,5,18.0,3.6,9.0,1.8,9,1.8,0,0,0.0,0,0,0,0,0,0,7,0,0,0,0
57,Jalen Richard,1,4,11.0,2.8,6.0,1.5,5,1.3,0,0,0.0,0,0,0,0,0,0,5,1,1,0,1
58,Latavius Murray,1,5,17.0,3.4,10.0,2.0,7,1.4,0,0,0.0,0,0,0,0,0,0,6,2,2,0,0
59,Anthony McFarland Jr.,1,4,15.0,3.8,8.0,2.0,7,1.8,0,1,-1.0,0,0,0,0,0,0,9,0,1,0,0
60,Zack Moss,1,3,9.0,3.0,4.0,1.3,5,1.7,0,1,-1.0,0,0,0,0,0,0,7,1,1,0,4
61,Antonio Gibson,1,2,14.0,7.0,4.0,2.0,10,5.0,0,0,0.0,0,1,0,0,0,0,13,0,0,0,0
62,Jaylen Samuels,1,1,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,4,0,7
63,Kerryon Johnson,1,3,3.0,1.0,2.0,0.7,1,0.3,0,0,0.0,0,0,0,0,0,0,2,2,3,0,4
64,Patrick Ricard,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,2
65,Carlos Hyde,1,2,1.0,0.5,0.0,0.0,1,0.5,1,0,0.0,0,0,0,0,0,0,1,3,3,0,0
66,DeeJay Dallas,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,3,0,5
67,Benny Snell Jr.,1,8,5.0,0.6,2.0,0.3,3,0.4,0,1,-2.0,0,0,0,0,0,0,4,2,3,1,0
68,Theo Riddick,1,3,6.0,2.0,3.0,1.0,3,1.0,0,0,0.0,0,0,0,0,0,0,3,1,1,0,3
69,Boston Scott,1,2,9.0,4.5,5.0,2.5,4,2.0,0,0,0.0,0,0,0,0,0,0,6,0,2,0,0
70,Elijhaa Penny,1,2,8.0,4.0,1.0,0.5,7,3.5,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0
71,Dare Ogunbowale,1,2,7.0,3.5,3.0,1.5,4,2.0,0,0,0.0,0,0,0,0,0,0,4,0,2,0,0
72,Samaje Perine,1,3,7.0,2.3,2.0,0.7,5,1.7,1,0,0.0,0,0,0,0,0,0,5,0,0,0,0
73,Dion Lewis,1,3,6.0,2.0,3.0,1.0,3,1.0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0
74,D'Ernest Johnson,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,2
75,Justice Hill,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0
76,Joshua Kelley,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,0
77,Frank Gore,1,1,2.0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0
78,Alec Ingold,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0
79,Jakob Johnson,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0
80,James White,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4,2,0
81,Jonathan Williams,1,0,0.0,,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
82,Tevin Coleman,1,2,-11.0,-5.5,0.0,0.0,0,0.0,0,2,-11.0,0,0,0,0,0,0,0,0,0,0,0
83,Christian McCaffrey,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
84,D'Onta Foreman,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
85,Devine Ozigbo,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
86,Trayveon Williams,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
87,D'Andre Swift,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
88,Xavier Jones,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
89,Anthony Sherman,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
90,Darwin Thompson,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
91,Josh Jacobs,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
92,Gabe Nabers,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
