,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Cole Kmet,1,5,41,8.2,19.0,3.8,0,0.0,22,4.4,5,1.0,1,6,22.2%,5,0,2,2,0,0,0,0
2,Dallas Goedert,1,8,100,12.5,65.0,8.1,0,0.0,35,4.4,0,0.0,0,9,36.0%,8,0,1,6,1,0,0,0
3,Cade Otton,1,5,68,13.6,34.0,6.8,0,0.0,34,6.8,11,2.2,1,6,10.9%,5,0,2,4,1,0,0,0
4,Travis Kelce,1,10,106,10.6,58.0,5.8,0,0.0,48,4.8,20,2.0,1,17,27.4%,14,4,1,5,1,0,0,0
5,Juwan Johnson,1,2,42,21.0,11.0,5.5,0,0.0,31,15.5,28,14.0,1,2,7.1%,2,0,0,1,1,1,1,1
6,Zach Ertz,1,5,40,8.0,37.0,7.4,0,0.0,3,0.6,0,0.0,0,8,24.2%,5,0,1,2,0,0,0,0
7,Noah Fant,1,5,96,19.2,24.0,4.8,0,0.0,72,14.4,9,1.8,0,6,18.8%,6,1,0,4,1,1,1,1
8,Isaiah Likely,1,1,24,24.0,22.0,22.0,0,0.0,2,2.0,0,0.0,0,5,22.7%,3,2,0,1,1,0,0,0
9,T.J. Hockenson,1,9,70,7.8,57.0,6.3,0,0.0,13,1.4,0,0.0,0,9,23.1%,9,0,3,4,0,0,0,0
10,James Mitchell,1,2,8,4.0,5.0,2.5,0,0.0,3,1.5,1,0.5,0,2,8.3%,2,0,1,0,0,0,0,0
11,Teagan Quitoriano,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,1,4.8%,1,0,1,0,0,0,0,0
12,Shane Zylstra,1,1,1,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,1,4.2%,1,0,1,0,0,0,0,0
13,Tommy Tremble,1,2,11,5.5,0.0,0.0,0,0.0,11,5.5,2,1.0,0,4,13.3%,2,0,1,0,0,0,0,0
14,Hunter Henry,1,4,50,12.5,35.0,8.8,0,0.0,15,3.8,1,0.3,0,4,13.8%,4,0,0,2,1,1,0,0
15,Chig Okonkwo,1,1,48,48.0,-4.0,-4.0,0,0.0,52,52.0,47,47.0,2,3,23.1%,1,0,0,1,1,1,1,1
16,Noah Gray,1,3,45,15.0,39.0,13.0,0,0.0,6,2.0,3,1.0,0,3,4.8%,3,0,0,2,1,0,0,0
17,Josiah Deguara,1,5,41,8.2,28.0,5.6,0,0.0,13,2.6,5,1.0,0,5,12.5%,5,0,0,1,1,0,0,0
18,Gerald Everett,1,5,36,7.2,12.0,2.4,0,0.0,24,4.8,4,0.8,0,8,18.6%,6,1,1,2,0,0,0,0
19,Hayden Hurst,1,5,35,7.0,24.0,4.8,0,0.0,11,2.2,2,0.4,0,5,16.7%,5,0,0,1,0,0,0,0
20,Austin Hooper,1,2,34,17.0,30.0,15.0,0,0.0,4,2.0,0,0.0,0,3,23.1%,2,0,0,2,0,0,0,0
21,Robert Tonyan,1,3,29,9.7,26.0,8.7,0,0.0,3,1.0,1,0.3,0,4,10.0%,3,0,1,1,0,0,0,0
22,Kyle Pitts,1,2,27,13.5,17.0,8.5,0,0.0,10,5.0,0,0.0,0,7,30.4%,3,1,0,1,0,0,0,0
23,Dawson Knox,1,3,25,8.3,17.0,5.7,0,0.0,8,2.7,0,0.0,0,4,12.1%,3,0,1,1,0,0,0,0
24,Will Dissly,1,3,24,8.0,3.0,1.0,0,0.0,21,7.0,0,0.0,0,4,12.5%,3,0,1,1,0,0,0,0
25,Armani Rogers,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
26,Foster Moreau,1,2,42,22.0,23.0,11.5,0,0.0,21,10.5,3,1.5,0,5,13.9%,2,0,0,2,1,1,0,0
27,Jonnu Smith,1,3,21,7.0,-10.0,-3.3,0,0.0,31,10.3,8,2.7,1,3,10.3%,3,0,0,1,1,0,0,0
28,Trevon Wesco,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0%,0,0,0,0,0,0,0,0
29,Dan Arnold,1,1,19,19.0,12.0,12.0,0,0.0,7,7.0,0,0.0,0,1,3.4%,1,0,0,1,0,0,0,0
30,Josh Oliver,1,1,19,19.0,1.0,1.0,0,0.0,18,18.0,2,2.0,0,3,13.6%,2,1,1,1,0,0,0,0
31,Marcedes Lewis,1,1,19,19.0,14.0,14.0,0,0.0,5,5.0,2,2.0,0,1,2.5%,1,0,0,1,0,0,0,0
32,C.J. Uzomah,1,3,16,5.3,4.0,1.3,0,0.0,12,4.0,1,0.3,0,3,12.5%,3,0,0,0,0,0,0,0
33,Luke Farrell,1,1,15,15.0,2.0,2.0,0,0.0,13,13.0,7,7.0,0,1,3.4%,1,0,0,1,0,0,0,0
34,O.J. Howard,1,1,14,14.0,3.0,3.0,0,0.0,11,11.0,3,3.0,0,2,9.5%,1,0,0,1,0,0,0,0
35,Mo Alie-Cox,1,2,13,6.5,11.0,5.5,0,0.0,2,1.0,0,0.0,0,2,7.1%,2,0,0,0,0,0,0,0
36,Jack Stoll,1,1,13,13.0,9.0,9.0,0,0.0,4,4.0,0,0.0,0,2,8.0%,1,0,0,1,0,0,0,0
37,Taysom Hill,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.6%,0,0,0,0,0,0,0,0
38,Giovanni Ricci,1,1,8,8.0,0.0,0.0,0,0.0,8,8.0,0,0.0,0,1,3.3%,1,0,0,0,0,0,0,0
39,Adam Trautman,1,1,8,8.0,2.0,2.0,0,0.0,6,6.0,0,0.0,0,1,3.6%,1,0,0,0,0,0,0,0
40,Evan Engram,1,1,8,8.0,-3.0,-3.0,0,0.0,11,11.0,3,3.0,0,2,6.9%,2,1,1,0,0,0,0,0
41,Chris Manhertz,1,1,7,7.0,7.0,7.0,0,0.0,0,0.0,0,0.0,0,2,6.9%,2,1,0,0,0,0,0,0
42,Tyler Conklin,1,1,7,7.0,4.0,4.0,0,0.0,3,3.0,2,2.0,0,2,8.3%,1,0,0,0,0,0,0,0
43,Colby Parkinson,1,2,6,3.0,-5.0,-2.5,0,0.0,11,5.5,0,0.0,0,2,6.3%,2,0,0,1,0,0,0,0
44,MyCole Pruitt,1,1,6,6.0,5.0,5.0,0,0.0,1,1.0,0,0.0,0,1,4.3%,1,0,1,0,0,0,0,0
45,Ko Kieft,1,1,6,6.0,5.0,5.0,0,0.0,1,1.0,0,0.0,0,2,3.6%,2,1,0,0,0,0,0,0
46,Brevin Jordan,1,1,5,5.0,-4.0,-4.0,0,0.0,9,9.0,5,5.0,0,2,9.5%,1,0,0,0,0,0,0,0
47,John Bates,1,1,5,5.0,-5.0,-5.0,0,0.0,10,10.0,0,0.0,0,2,7.7%,1,0,0,0,0,0,0,0
48,Mike Gesicki,1,1,3,3.0,1.0,1.0,0,0.0,2,2.0,0,0.0,0,2,6.9%,1,0,0,0,0,0,0,0
49,Jelani Woods,1,1,2,2.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,3,10.7%,2,1,0,0,0,0,0,0
50,Johnny Mundt,1,1,1,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,1,2.6%,1,0,0,0,0,0,0,0
51,Tyler Higbee,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.8%,0,1,0,0,0,0,0,0
52,Jake Ferguson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
53,Peyton Hendershot,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
54,George Kittle,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
55,Jacob Harris,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
56,Grant Calcaterra,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
57,Devin Asiasi,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.3%,0,0,0,0,0,0,0,0
58,Brycen Hopkins,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.8%,0,1,0,0,0,0,0,0
59,Tyler Mabry,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
60,Nikola Kalinic,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
61,Stone Smartt,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
62,James Winchester,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0%,0,0,0,0,0,0,0,0
63,Greg Dulcich,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
64,Sean McKeon,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
65,Tommy Sweeney,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
66,Cole Turner,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
67,Donald Parham Jr.,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
68,Charlie Woerner,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
69,Trey McBride,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
70,Nick Vannett,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
71,Andrew Beck,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
72,Jordan Akins,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,4.8%,0,0,1,0,0,0,0,0
73,Ross Dwelley,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
74,Kylen Granson,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,3.6%,0,1,0,0,0,0,0,0
75,Pharaoh Brown,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
76,David Njoku,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
77,Harrison Bryant,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
78,Ian Thomas,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
79,Logan Thomas,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,3,11.5%,0,0,0,0,0,0,0,0
80,Durham Smythe,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2,6.9%,0,0,1,0,0,0,0,0
81,Connor Heyward,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
82,Pat Freiermuth,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
83,Drew Sample,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
84,Mark Andrews,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
85,Parker Hesse,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
86,Anthony Firkser,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
87,Richard Rodgers,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2,4.7%,0,0,1,0,0,0,0,0
88,Jake Tonges,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
89,Daniel Bellinger,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
90,Hunter Long,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
91,Miller Forristall,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
92,Quintin Morris,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
93,Mitchell Wilcox,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
94,Brock Wright,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,4.2%,0,0,0,0,0,0,0,0
95,Jeremy Ruckert,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
96,Kenny Yeboah,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
97,Tanner Hudson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
98,Eric Tomlinson,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
99,Irv Smith Jr.,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
100,Eric Saubert,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
101,Albert Okwuegbunam Jr.,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
102,Dalton Schultz,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
103,Jody Fortson Jr.,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
104,Chris Myarick,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
105,Geoff Swaim,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
106,Tyler Davis,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
107,Charlie Kolar,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,%,0,0,0,0,0,0,0,0
