,,GAMES,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,TARGETS,TARGETS,TARGETS,TARGETS,TARGETS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS,BIG PLAYS
RANK,PLAYER,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Tyreek Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
2,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
3,Stefon Diggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
4,Calvin Ridley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
5,DK Metcalf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
6,Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
7,Mike Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
8,Justin Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
9,DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
10,Allen Robinson II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
11,A.J. Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
12,Robert Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
13,Keenan Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
14,Tyler Lockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
15,Amari Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
16,CeeDee Lamb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
17,DJ Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
18,Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
19,Tee Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
20,Terry McLaurin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
21,JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
22,Brandon Aiyuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
23,Diontae Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
24,Curtis Samuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
25,Brandin Cooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
26,Cooper Kupp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
27,Tyler Boyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
28,Jamison Crowder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
29,Marquise Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
30,Tim Patrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
31,Chris Godwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
32,DJ Chark Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
33,Christian Kirk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
34,Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
35,Mike Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
36,Zach Pascal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
37,Darius Slayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
38,Mecole Hardman Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
39,Gabe Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
40,Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
41,David Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
42,Darnell Mooney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
43,Laviska Shenault Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
44,Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
45,Jakobi Meyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
46,Sterling Shepard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
47,Josh Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
48,Tre'Quan Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
49,Jalen Guyton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
50,Scotty Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
51,Odell Beckham Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
52,Allen Lazard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
53,KJ Hamler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
54,Anthony Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
55,Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
56,Braxton Berrios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
57,Michael Pittman Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
58,Jalen Reagor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
59,Chris Conley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
60,Deebo Samuel Sr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
61,Donovan Peoples-Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
62,Collin Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
63,Miles Boykin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
64,N'Keal Harry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
65,Quintez Cephus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
66,Cedrick Wilson Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
67,Olamide Zaccheaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
68,Devin Duvernay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
69,Steven Sims Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
70,Deonte Harty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
71,Tyler Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
72,Mack Hollins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
73,Van Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
74,Gunner Olszewski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
75,Zay Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
76,Kalif Raymond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
77,Equanimeous St. Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
78,Brandon Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
79,Quez Watkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
80,Noah Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
81,KhaDarel Hodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
82,Laquon Treadwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
83,Malik Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
84,Ray-Ray McCloud III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
85,Justin Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
86,Lil'Jordan Humphrey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
87,Parris Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
88,Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
89,Courtland Sutton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
90,Ashton Dulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
91,Nick Westbrook-Ikhine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
92,River Cracraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
93,John Ross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
94,Keith Kirkwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
95,Trent Sherfield Sr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
96,Trenton Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
97,Quinton Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
98,K.J. Osborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
99,Jordan Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
100,Kristian Wilkerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
101,Juwann Winfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
102,Chris Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
103,Alex Bachman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
104,Deon Cain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
105,DeAndre Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
106,Nsimba Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,%,0,0,0,0,0,0,0,0
