RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Cordarrelle Patterson,1,6,34.0,5.7,21.0,3.5,13,2.2,0,0,0.0,0,1,0,0,0,0,13,5,6,2,3,0.0,82.0,16.4,3.0,0.0,29.6
2,Austin Ekeler,1,15,117.0,7.8,70.0,4.7,47,3.1,3,0,0.0,11,4,1,0,0,0,20,3,5,1,4,1.0,28.0,9.3,1.0,0.0,26.5
3,Saquon Barkley,1,13,52.0,4.0,25.0,1.9,27,2.1,1,0,0.0,6,1,0,0,0,0,17,5,6,0,20,1.0,74.0,14.8,1.0,0.0,24.6
4,Derrick Henry,1,33,157.0,4.8,77.0,2.3,80,2.4,2,1,-4.0,1,5,1,0,0,0,22,2,2,0,4,1.0,20.0,10.0,0.0,0.0,23.7
5,David Montgomery,1,23,106.0,4.6,51.0,2.2,55,2.4,3,2,-2.0,9,2,1,0,0,0,24,0,0,0,0,2.0,0.0,0.0,0.0,0.0,22.6
6,Ezekiel Elliott,1,20,143.0,7.2,71.0,3.6,72,3.6,1,0,0.0,1,4,1,1,1,0,47,0,1,0,0,1.0,0.0,0.0,0.0,0.0,20.3
7,James Robinson,1,18,78.0,4.3,52.0,2.9,26,1.4,2,0,0.0,6,2,1,0,0,0,20,1,2,1,0,2.0,-2.0,-2.0,0.0,0.0,19.6
8,James Conner,1,18,50.0,2.8,25.0,1.4,25,1.4,0,2,-3.0,1,1,0,0,0,0,10,2,2,0,1,2.0,16.0,8.0,0.0,0.0,18.6
9,Jonathan Taylor,1,16,103.0,6.4,56.0,3.5,47,2.9,4,1,-5.0,23,2,2,1,0,0,38,3,3,0,6,1.0,11.0,3.7,0.0,0.0,17.4
10,Clyde Edwards-Helaire,1,14,102.0,7.3,56.0,4.0,46,3.3,2,0,0.0,0,4,0,0,0,0,17,2,3,1,0,0.0,1.0,0.5,1.0,0.0,16.3
11,Najee Harris,1,15,62.0,4.1,28.0,1.9,34,2.3,1,1,-2.0,1,2,0,0,0,0,11,6,7,0,12,1.0,29.0,4.8,0.0,0.0,15.1
12,Kenneth Gainwell,1,3,31.0,10.3,19.0,6.3,12,4.0,1,0,0.0,7,2,0,0,0,0,13,6,8,3,8,1.0,58.0,9.7,0.0,0.0,14.9
13,Kareem Hunt,1,14,69.0,4.9,29.0,2.1,40,2.9,1,0,0.0,1,2,1,1,0,0,33,2,4,1,7,1.0,17.0,8.5,0.0,0.0,14.6
14,Leonard Fournette,1,20,92.0,4.6,62.0,3.1,30,1.5,4,2,-3.0,0,2,1,0,0,0,21,3,5,2,2,0.0,47.0,15.7,0.0,0.0,13.9
15,Chase Edmonds,1,12,120.0,10.0,96.0,8.0,24,2.0,1,0,0.0,0,4,1,1,1,1,54,4,5,1,2,0.0,19.0,4.8,0.0,0.0,13.9
16,Alex Collins,1,10,44.0,4.4,30.0,3.0,14,1.4,0,1,-2.0,14,1,0,0,0,0,14,2,2,0,4,1.0,34.0,17.0,0.0,0.0,13.8
17,Antonio Gibson,1,14,63.0,4.5,42.0,3.0,21,1.5,0,0,0.0,2,0,0,0,0,0,8,2,2,0,7,1.0,12.0,6.0,0.0,0.0,13.5
18,Damien Williams,1,8,55.0,6.9,44.0,5.5,11,1.4,1,1,-3.0,4,2,1,0,0,0,23,2,2,0,5,1.0,15.0,7.5,0.0,0.0,13.0
19,Joe Mixon,1,16,67.0,4.2,54.0,3.4,13,0.8,2,0,0.0,1,1,0,0,0,0,11,1,2,0,0,1.0,0.0,0.0,0.0,0.0,12.7
20,Zack Moss,1,14,61.0,4.4,16.0,1.1,45,3.2,0,2,-6.0,4,1,0,0,0,0,17,0,1,1,0,1.0,0.0,0.0,0.0,0.0,12.1
21,Alvin Kamara,1,26,120.0,4.6,58.0,2.2,62,2.4,3,0,0.0,0,1,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0
22,Latavius Murray,1,18,59.0,3.3,37.0,2.1,22,1.2,1,3,-4.0,11,1,0,0,0,0,11,0,0,0,0,1.0,0.0,0.0,0.0,0.0,11.9
23,J.D. McKissic,1,7,15.0,2.1,10.0,1.4,5,0.7,0,2,-2.0,0,1,0,0,0,0,10,5,5,0,5,0.0,44.0,8.8,1.0,0.0,11.9
24,Darrel Williams,1,10,42.0,4.2,21.0,2.1,21,2.1,0,0,0.0,1,1,0,0,0,0,10,2,2,1,1,1.0,16.0,8.0,0.0,0.0,11.8
25,Darrell Henderson Jr.,1,14,89.0,6.4,62.0,4.4,27,1.9,1,0,0.0,0,3,0,0,0,0,15,5,6,0,3,0.0,27.0,5.4,0.0,0.0,11.6
26,Nick Chubb,1,21,100.0,4.8,38.0,1.8,62,3.0,1,0,0.0,0,2,0,0,0,0,13,1,1,0,1,0.0,5.0,5.0,0.0,0.0,10.5
27,AJ Dillon,1,15,81.0,5.4,45.0,3.0,36,2.4,2,1,-1.0,0,1,1,0,0,0,25,1,1,0,7,0.0,16.0,16.0,0.0,0.0,9.7
28,Michael Carter,1,13,38.0,2.9,8.0,0.6,30,2.3,0,2,-4.0,2,1,0,0,0,0,13,1,3,0,0,1.0,-4.0,-4.0,0.0,0.0,9.4
29,Trey Sermon,1,19,89.0,4.7,51.0,2.7,38,2.0,0,2,-2.0,0,1,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.9
30,Devin Singletary,1,14,79.0,5.6,29.0,2.1,50,3.6,1,0,0.0,0,2,0,0,0,0,15,1,1,0,1,0.0,7.0,7.0,0.0,0.0,8.6
31,Mike Davis,1,13,14.0,1.1,1.0,0.1,13,1.0,0,4,-12.0,0,0,0,0,0,0,8,2,2,1,10,0.0,12.0,6.0,1.0,0.0,8.6
32,Ronald Jones II,1,6,25.0,4.2,11.0,1.8,14,2.3,1,0,0.0,8,0,0,0,0,0,8,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.5
33,Jeremy McNichols,1,1,11.0,11.0,0.0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,11,8,12,0,40,0.0,74.0,9.3,0.0,0.0,8.5
34,Aaron Jones Sr.,1,15,48.0,3.2,28.0,1.9,20,1.3,1,3,-6.0,0,1,0,0,0,0,15,3,4,1,12,0.0,51.0,17.0,0.0,1.0,7.9
35,Chuba Hubbard,1,13,57.0,4.4,32.0,2.5,25,1.9,1,4,-6.0,0,2,0,0,0,0,14,2,2,0,8,0.0,14.0,7.0,0.0,0.0,7.1
36,Tony Pollard,1,10,67.0,6.7,45.0,4.5,22,2.2,1,0,0.0,0,3,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.7
37,Melvin Gordon III,1,9,56.0,6.2,30.0,3.3,26,2.9,4,1,-1.0,0,2,0,0,0,0,14,2,4,0,6,0.0,11.0,5.5,0.0,0.0,6.7
38,Jamaal Williams,1,14,66.0,4.7,39.0,2.8,27,1.9,3,1,-1.0,0,1,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.6
39,Javonte Williams,1,7,48.0,6.9,8.0,1.1,40,5.7,4,1,-3.0,0,2,1,1,0,0,31,3,3,1,2,0.0,11.0,3.7,0.0,0.0,5.9
40,Josh Jacobs,1,13,40.0,3.1,20.0,1.5,20,1.5,1,1,-1.0,0,1,0,0,0,0,10,5,5,1,11,0.0,17.0,3.4,0.0,0.0,5.7
41,Brandon Bolden,1,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,6,6,2,4,0.0,51.0,8.5,0.0,0.0,5.1
42,D'Andre Swift,1,8,16.0,2.0,12.0,1.5,4,0.5,0,2,-3.0,0,0,0,0,0,0,6,4,6,1,5,0.0,33.0,8.3,0.0,0.0,4.9
43,Ty Montgomery II,1,2,7.0,3.5,5.0,2.5,2,1.0,0,0,0.0,0,0,0,0,0,0,5,3,3,0,2,0.0,42.0,14.0,0.0,0.0,4.9
44,David Johnson,1,5,21.0,4.2,9.0,1.8,12,2.4,1,0,0.0,0,1,0,0,0,0,10,3,4,1,14,0.0,27.0,9.0,0.0,0.0,4.8
