RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Brian Robinson Jr.,1,18,87.0,4.8,20.0,1.1,67,3.7,3,2,-7.0,15,4,1,0,0,0,27,2,3,0,25,2.0,21.0,0.0,0.0,26.9
2,Raheem Mostert,1,18,121.0,6.7,118.0,6.6,3,0.2,1,0,0.0,43,3,1,1,1,0,43,1,1,0,0,2.0,6.0,0.0,0.0,24.7
3,D'Andre Swift,1,28,175.0,6.3,118.0,4.2,57,2.0,5,0,0.0,2,3,1,1,1,0,43,3,3,0,0,1.0,2.0,0.0,0.0,24.1
4,Kyren Williams,1,14,52.0,3.7,28.0,2.0,24,1.7,0,1,-1.0,4,0,0,0,0,0,8,6,10,1,9,1.0,8.0,1.0,0.0,22.0
5,Saquon Barkley,1,17,63.0,3.7,27.0,1.6,36,2.1,3,2,-6.0,1,2,0,0,0,0,16,6,7,1,6,1.0,4.8,1.0,0.0,21.2
6,Jerome Ford,1,16,106.0,6.6,64.0,4.0,42,2.6,2,2,-4.0,0,1,1,1,1,1,69,3,4,1,6,0.0,8.3,1.0,0.0,21.1
7,Christian McCaffrey,1,20,116.0,5.8,33.0,1.7,83,4.2,0,0,0.0,14,2,1,1,1,1,51,3,3,0,0,1.0,6.3,0.0,0.0,19.5
8,Kenneth Walker III,1,17,43.0,2.5,25.0,1.5,18,1.1,3,1,-5.0,3,2,0,0,0,0,14,1,2,0,4,2.0,11.0,0.0,0.0,17.4
9,Bijan Robinson,1,19,124.0,6.5,79.0,4.2,45,2.4,1,1,-2.0,0,5,0,0,0,0,19,4,5,0,9,0.0,12.0,0.0,0.0,17.2
10,Zack Moss,1,18,88.0,4.9,54.0,3.0,34,1.9,2,0,0.0,11,2,0,0,0,0,11,4,4,1,4,1.0,4.8,0.0,0.0,16.7
11,James Conner,1,23,106.0,4.6,84.0,3.7,22,1.0,3,6,-7.0,4,4,2,0,0,0,22,0,1,0,0,1.0,0.0,0.0,0.0,16.6
12,Rachaad White,1,17,73.0,4.3,31.0,1.8,42,2.5,4,1,-2.0,4,1,0,0,0,0,13,5,5,1,11,1.0,6.0,0.0,0.0,16.3
13,James Cook,1,17,123.0,7.2,55.0,3.2,68,4.0,1,1,-2.0,0,3,1,1,0,0,36,4,4,0,12,0.0,9.0,0.0,0.0,15.9
14,Derrick Henry,1,25,80.0,3.2,36.0,1.4,44,1.8,0,3,-6.0,1,1,1,0,0,0,23,3,4,0,4,1.0,5.0,0.0,0.0,15.5
15,Tony Jones Jr.,1,12,34.0,2.8,12.0,1.0,22,1.8,0,0,0.0,2,0,0,0,0,0,6,0,2,1,0,2.0,0.0,0.0,0.0,15.4
16,Tony Pollard,1,25,72.0,2.9,47.0,1.9,25,1.0,1,5,-13.0,0,1,1,0,0,0,23,7,8,2,2,0.0,5.3,0.0,0.0,12.9
17,Gus Edwards,1,10,62.0,6.2,48.0,4.8,14,1.4,0,0,0.0,1,2,1,0,0,0,20,0,0,0,0,1.0,0.0,0.0,0.0,12.2
18,Rhamondre Stevenson,1,15,50.0,3.3,42.0,2.8,8,0.5,3,2,-6.0,2,1,0,0,0,0,12,3,3,0,2,1.0,3.3,0.0,0.0,12.0
