RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,George Kittle,1,13,151,11.6,94.0,7.2,0,0.0,57,4.4,26,2.0,1,15,0.405,14,1,2,7,2,0,0,0,1.0,0.0,0.0,0.0,0.0,21.1
2,Mark Andrews,1,11,115,10.5,58.0,5.3,0,0.0,57,5.2,19,1.7,0,11,0.275,11,0,1,5,2,1,0,0,1.0,0.0,0.0,0.0,0.0,17.5
3,Dawson Knox,1,7,60,8.6,22.0,3.1,0,0.0,38,5.4,4,0.6,0,9,0.17600000000000002,7,0,2,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,12.0
4,Albert Okwuegbunam Jr.,1,5,41,8.2,12.0,2.4,0,0.0,29,5.8,11,2.2,2,5,0.2,5,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.1
5,Pat Freiermuth,1,2,32,16.0,15.0,7.5,0,0.0,17,8.5,1,0.5,0,3,0.077,2,0,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.2
6,Austin Hooper,1,5,30,6.0,16.0,3.2,0,0.0,14,2.8,2,0.4,0,6,0.19399999999999998,6,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.0
7,Gerald Everett,1,2,15,7.5,10.0,5.0,0,0.0,5,2.5,0,0.0,0,2,0.071,2,0,1,1,0,0,0,0,1.0,1.0,13.0,0.0,0.0,8.8
8,Brevin Jordan,1,4,26,6.5,15.0,3.8,0,0.0,11,2.8,0,0.0,0,7,0.146,4,0,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.6
9,Jared Cook,1,2,8,4.0,8.0,4.0,0,0.0,0,0.0,0,0.0,0,5,0.16699999999999998,2,0,4,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.8
10,Kyle Rudolph,1,2,66,33.0,23.0,11.5,0,0.0,43,21.5,17,8.5,0,2,0.059000000000000004,2,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.6
