RANK,PLAYER,GAMES,RECEIVING_REC,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_YBC,RECEIVING_YBC/R,RECEIVING_AIR,RECEIVING_AIR/R,RECEIVING_YAC,RECEIVING_YACON,RECEIVING_YACON/R,RECEIVING_BRKTKL,TARGETS_TGT,TARGETS_%_TM,TARGETS_CATCHABLE,TARGETS_DROP,TARGETS_RZ_TGT,BIG_PLAYS_10+_YDS,BIG_PLAYS_20+_YDS,BIG_PLAYS_30+_YDS,BIG_PLAYS_40+_YDS,BIG_PLAYS_50+_YDS,BIG_PLAYS_LNG,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,CeeDee Lamb,1,10,120,12.0,90.0,9.0,0,0.0,30,3.0,0,0.0,0,11,0.314,11,1,2,4,2,1,0,0,2.0,0.0,0.0,0.0,0.0,24.0
2,DeVonta Smith,1,8,113,14.1,107.0,13.4,0,0.0,6,0.8,0,0.0,0,12,0.353,9,1,3,5,2,0,0,0,2.0,0.0,0.0,0.0,0.0,23.3
3,Jaylen Waddle,1,5,143,28.6,60.0,12.0,0,0.0,83,16.6,44,8.8,1,6,0.25,5,0,0,4,2,1,1,1,1.0,0.0,0.0,0.0,0.0,20.3
4,Justin Jefferson,1,12,133,11.1,88.0,7.3,0,0.0,45,3.8,3,0.3,1,16,0.34,12,0,2,8,1,0,0,0,1.0,0.0,0.0,0.0,0.0,19.3
5,Kendrick Bourne,1,6,100,16.7,97.0,16.2,0,0.0,3,0.5,0,0.0,0,9,0.29,6,0,1,4,2,1,0,0,1.0,1.0,29.0,0.0,0.0,18.9
6,Tee Higgins,1,8,128,16.0,95.0,11.9,0,0.0,33,4.1,0,0.0,0,9,0.184,9,1,2,5,2,2,0,0,1.0,0.0,0.0,0.0,0.0,18.8
7,Trenton Irwin,1,3,45,15.0,45.0,15.0,0,0.0,0,0.0,0,0.0,0,4,0.08199999999999999,4,1,1,2,1,0,0,0,2.0,0.0,0.0,0.0,0.0,16.5
8,DJ Moore,1,5,83,16.6,73.0,14.6,0,0.0,10,2.0,8,1.6,0,7,0.33299999999999996,5,0,2,3,1,1,1,1,1.0,1.0,8.0,0.0,0.0,15.1
9,Isaiah Hodgins,1,8,89,11.1,79.0,9.9,0,0.0,10,1.3,0,0.0,0,12,0.293,8,0,1,3,1,0,0,0,1.0,0.0,0.0,0.0,0.0,14.9
10,Jakobi Meyers,1,6,83,13.8,64.0,10.7,0,0.0,19,3.2,0,0.0,0,7,0.226,6,0,0,3,1,1,1,1,1.0,0.0,0.0,0.0,0.0,14.3
11,Terry McLaurin,1,4,77,19.3,76.0,19.0,0,0.0,1,0.3,0,0.0,0,5,0.147,4,0,1,2,1,1,1,1,1.0,0.0,0.0,0.0,0.0,13.7
12,Jahan Dotson,1,6,76,12.7,61.0,10.2,0,0.0,15,2.5,5,0.8,0,9,0.265,7,1,1,3,1,0,0,0,1.0,0.0,0.0,0.0,0.0,13.6
13,Ray-Ray McCloud III,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.048,0,1,0,0,0,0,0,0,0.0,1.0,71.0,1.0,0.0,13.1
14,Greg Dortch,1,10,98,9.8,43.0,4.3,0,0.0,55,5.5,15,1.5,0,11,0.262,10,0,0,3,1,0,0,0,0.0,3.0,25.0,0.0,0.0,12.3
15,Jerry Jeudy,1,6,117,19.5,84.0,14.0,0,0.0,33,5.5,6,1.0,1,10,0.294,7,1,1,5,3,1,0,0,0.0,0.0,0.0,0.0,0.0,11.7
16,George Pickens,1,5,57,11.4,48.0,9.6,0,0.0,9,1.8,7,1.4,0,5,0.139,5,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,11.7
17,Curtis Samuel,1,5,52,10.4,28.0,5.6,0,0.0,24,4.8,8,1.6,1,5,0.147,5,0,0,3,1,0,0,0,1.0,1.0,2.0,0.0,0.0,11.4
18,DJ Chark Jr.,1,4,108,27.0,76.0,19.0,0,0.0,32,8.0,6,1.5,0,5,0.122,4,0,0,3,2,2,1,1,0.0,0.0,0.0,0.0,0.0,10.8
19,Keenan Allen,1,11,104,9.5,76.0,6.9,0,0.0,28,2.5,11,1.0,1,14,0.467,12,2,2,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,10.4
20,A.J. Brown,1,6,103,17.2,74.0,12.3,0,0.0,29,4.8,0,0.0,0,8,0.235,6,0,1,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,10.3
21,Tyreek Hill,1,4,103,25.8,92.0,23.0,0,0.0,11,2.8,6,1.5,0,6,0.25,4,0,0,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,10.3
22,Hunter Renfrow,1,4,42,10.5,21.0,5.3,0,0.0,21,5.3,15,3.8,1,7,0.233,5,1,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,10.2
23,Michael Gallup,1,4,36,9.0,31.0,7.8,0,0.0,5,1.3,4,1.0,0,7,0.2,7,3,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.6
24,Brandin Cooks,1,4,34,8.5,30.0,7.5,0,0.0,4,1.0,1,0.3,0,9,0.31,4,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.4
25,Richie James Jr.,1,8,90,11.3,64.0,8.0,0,0.0,26,3.3,0,0.0,0,11,0.268,10,2,1,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,9.0
26,Gabe Davis,1,3,45,15.0,43.0,14.3,0,0.0,2,0.7,1,0.3,0,6,0.24,3,0,1,3,0,0,0,0,1.0,0.0,0.0,0.0,1.0,8.5
27,Brandon Aiyuk,1,5,81,16.2,36.0,7.2,0,0.0,45,9.0,6,1.2,0,7,0.33299999999999996,5,0,0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,8.1
28,DK Metcalf,1,7,81,11.6,67.0,9.6,0,0.0,14,2.0,10,1.4,0,9,0.237,8,0,1,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,8.1
29,Darius Slayton,1,4,79,19.8,36.0,9.0,0,0.0,43,10.8,0,0.0,0,6,0.146,4,0,0,3,2,1,0,0,0.0,0.0,0.0,0.0,0.0,7.9
30,Amon-Ra St. Brown,1,7,76,10.9,41.0,5.9,0,0.0,35,5.0,4,0.6,0,13,0.317,7,0,6,4,0,0,0,0,0.0,1.0,0.0,0.0,0.0,7.6
31,Drake London,1,7,96,13.7,68.0,9.7,0,0.0,28,4.0,0,0.0,0,9,0.29,7,0,1,5,2,0,0,0,0.0,0.0,0.0,0.0,1.0,7.6
32,Mike Williams,1,4,76,19.0,34.0,8.5,0,0.0,42,10.5,26,6.5,0,4,0.133,4,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.6
33,Amari Cooper,1,6,72,12.0,58.0,9.7,0,0.0,14,2.3,4,0.7,0,10,0.37,8,2,2,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.2
34,Dante Pettis,1,2,11,5.5,11.0,5.5,0,0.0,0,0.0,0,0.0,0,5,0.2,3,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,7.1
35,Kadarius Toney,1,1,8,8.0,-4.0,-4.0,0,0.0,12,12.0,0,0.0,0,2,0.07400000000000001,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.8
36,Demarcus Robinson,1,1,6,6.0,6.0,6.0,0,0.0,0,0.0,0,0.0,0,1,0.063,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,6.6
37,Russell Gage,1,5,65,13.0,26.0,5.2,0,0.0,39,7.8,19,3.8,1,6,0.125,5,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.5
38,Diontae Johnson,1,5,64,12.8,49.0,9.8,0,0.0,15,3.0,4,0.8,0,7,0.19399999999999998,6,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4
39,Courtland Sutton,1,5,64,12.8,62.0,12.4,0,0.0,2,0.4,2,0.4,0,7,0.20600000000000002,5,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4
40,Kalif Raymond,1,1,56,56.0,51.0,51.0,0,0.0,5,5.0,0,0.0,0,1,0.024,1,0,0,1,1,1,1,1,0.0,1.0,8.0,0.0,0.0,6.4
41,Chris Godwin,1,8,63,7.9,9.0,1.1,0,0.0,54,6.8,7,0.9,0,10,0.20800000000000002,8,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.3
42,Allen Lazard,1,5,61,12.2,43.0,8.6,0,0.0,18,3.6,11,2.2,0,11,0.289,6,1,3,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.1
43,Ja'Marr Chase,1,8,79,9.9,40.0,5.0,0,0.0,39,4.9,3,0.4,2,11,0.22399999999999998,9,1,0,5,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.9
44,Marquise Brown,1,3,57,19.0,48.0,16.0,0,0.0,9,3.0,0,0.0,0,6,0.14300000000000002,3,0,0,2,1,1,1,1,0.0,1.0,1.0,0.0,0.0,5.8
45,Terrace Marshall Jr.,1,2,55,27.5,38.0,19.0,0,0.0,17,8.5,0,0.0,0,3,0.14300000000000002,3,1,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,5.5
46,Laviska Shenault Jr.,1,3,53,17.7,-11.0,-3.7,0,0.0,64,21.3,43,14.3,0,3,0.14300000000000002,3,0,0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.3
47,T.Y. Hilton,1,1,52,52.0,52.0,52.0,0,0.0,0,0.0,0,0.0,0,1,0.028999999999999998,1,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.2
48,Velus Jones Jr.,1,2,52,26.0,52.0,26.0,0,0.0,0,0.0,0,0.0,0,4,0.16,2,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,5.2
49,Christian Watson,1,6,49,8.2,21.0,3.5,0,0.0,28,4.7,4,0.7,0,8,0.21100000000000002,6,0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.9
50,Phillip Dorsett II,1,3,45,15.0,42.0,14.0,0,0.0,3,1.0,0,0.0,0,3,0.10300000000000001,3,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5
51,Rashid Shaheed,1,4,41,10.3,14.0,3.5,0,0.0,27,6.8,3,0.8,0,5,0.35700000000000004,4,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.1
